nvic id,smiles
NVIC0001,FC(F)(F)c1nn(c(c2cc3c(c4c(cc3)cccc4)cc2)c1)c1ccc(NC(=O)CN)cc1
NVIC0002,O1c2c3[C@@H](N(CCc3cc3OCOc23)C)Cc2ccc(Oc3cc(C[C@H]4N(CCc5c4cc1c(OC)c5)C)ccc3OC)cc2
NVIC0003,O=C1N2[C@]3(C[C@H]4[C@@]1(NC3=O)C[C@]1(C4(C)C)c3c(NC1=O)c1c(O[C@@H](C1)C(=C)C)cc3)CCC2
NVIC0004,FC(F)(F)c1cc(N2C(=O)[C@@H]3C4(c5c(C([C@H]3C2=O)c2c4cccc2)cccc5)C(=O)C)ccc1
NVIC0005,S(CC(=O)N1CCCc2c1cccc2)c1n(nnn1)c1c2c(ccc1)cccc2
NVIC0006,O(c1cc2c([C@@H]3[C@H]([C@H]4[C@@]([C@@H](NCCCCCCN5C(=O)C=CC5=O)CC4)(CC3)C)CC2)cc1)C
NVIC0007,O1[C@]2([C@H]3N(c4c2cccc4)C(=O)[C@@H](N3)CC(C)C)C[C@H]2n3c(nc4c(c3=O)cccc4)[C@@]1(NC2=O)C
NVIC0008,Clc1cc2[nH]c(=O)c(c3c(OC)cccc3)cc2cc1
NVIC0009,Clc1nc(C(=O)N/C(=N/Cc2ccccc2)/N)c(nc1N)N
NVIC0010,O1[C@@]23[C@@]4(O)[C@@]5([C@]1(O)C[C@]([C@]4(O)[C@H](OC(=O)c1[nH]ccc1)[C@]5(O)C(C)C)([C@@]2(O)CC[C@@H]([C@H]3O)C)C)C
NVIC0011,o1c2c3c(c4c(cc3)c(ccc4)C)C(=O)C(=O)c2c(c1)C
NVIC0012,O([C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO)[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO
NVIC0013,s1c(NC(c2c(O)c3ncccc3cc2)c2ccc(OC(F)F)cc2)nc2c1ccc(OC)c2
NVIC0014,O1[C@]2(O[C@@H]([C@@H](CC2)C)Cc2oc3c(n2)c(c(NC)cc3)C(=O)O)[C@@H](C[C@H]([C@H]1[C@H](C)C(=O)c1[nH]ccc1)C)C
NVIC0015,[P@@](=O)(OC[C@H]1O[C@]([C@H](O)[C@@H]1O)(c1n2ncnc(N)c2cc1)C#N)(Oc1ccccc1)N[C@H](C(=O)OCC(CC)CC)C
NVIC0016,N(c1ccc(/C(=C/2\C=CC(=[N+](CC)CC)C=C2)/c2ccccc2)cc1)(CC)CC
NVIC0017,O1[C@H]([C@H](O)[C@H](O)[C@H]1CO)c1n[nH]c(c1O)C(=O)N
NVIC0018,O=c1[nH]c(nc2NCC(Nc12)CNc1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)N
NVIC0019,O1CCN(CC1)c1nc(nc(n1)N/N=C\c1ccc(O)cc1)Nc1ccccc1
NVIC0020,O1CCN(CC1)c1nc(N2CCOCC2)nc(N/N=C\c2cc(OC)c(O)cc2)c1
NVIC0021,S1/C(=C/c2cc(O)c(OC)cc2)/C(=O)NC1=N
NVIC0022,O1[C@]2(C[C@H]3n4c(nc5c(c4=O)cccc5)C(=O)C([C@@]13O)(C)C)[C@H]1N(c3c2cccc3)C(=O)[C@@H](N1)C
NVIC0023,O=C1N2[C@]3(C[C@H]4[C@@]1(NC3=O)C[C@]1(C4(C)C)c3c(NC1=O)cc1OC(C=Cc1c3)(C)C)CCC2
NVIC0024,O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)[C@@H]1Oc1c(oc2c(O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(=O)O)c(O)cc(O)c2c1=O)c1cc(O)c(O)cc1)CO
NVIC0025,s1c2CCCCc2nc1N(C(=O)COc1c2OC(Cc2ccc1)(C)C)C
NVIC0026,Clc1c(cc(c2oc(/C=C/3\SC(=S)N(CCc4ccc(OCC5CC5)cc4)C3=O)cc2)cc1)C(=O)O
NVIC0027,[O-][N+]12[C@]3(C[C@@H]4[C@](N(C3=O)C)(C1)C[C@@]1(C4(C)C)c3c(NC1=O)c1c(OC(CC1=O)(C)C)cc3)C[C@H](C2)C
NVIC0028,O1[C@@H](O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO
NVIC0029,O(CCN)B(c1ccccc1)c1ccccc1
NVIC0030,O=C1c2c3c(C(CCC3)(C)C)ccc2C=C(C1=O)C(C)C
NVIC0031,Clc1nc(c(nc1N)N)C(=O)N=C(N)N
NVIC0032,O(C(C)(C)C)C(=O)NCCCN(CCCC)C(=O)c1cc(OC)c(OC)cc1
NVIC0033,Brc1cc(/C=c\2/sc3=NC(=C(C(n3c2=O)c2ccccc2)C(=O)OCC)C)c(OC(=O)C)cc1
NVIC0034,S(=O)(=O)(Nc1ccc(n2nnnc2)cc1)C1=Cc2c(CC1)cccc2
NVIC0035,O=C1NC(=O)NC1(c1ccccc1)c1ccccc1
NVIC0036,S1C(=NC(=O)/C/1=C/c1c(nn(c1)c1ccccc1)c1oc2c(c1)cccc2)N1C[C@H](O[C@@H](C1)C)C
NVIC0037,Clc1nc(c(nc1N(C(C)C)CC)N)C(=O)N=C(N)N
NVIC0038,S(C[C@H]1O[C@@H](n2c3ncnc(N)c3cc2)[C@H](O)[C@@H]1O)C
NVIC0039,[nH]1c2c(nc1)ncnc2N
NVIC0040,c1(c(c2c(s1)CCCC2)C(=O)N)/N=c\1/c(cc2c(o1)cc(cc2)O)C(=O)N
NVIC0041,S(CC(=O)N1CCCc2c1cccc2)c1n(Cc2ccc(cc2)C)c(cn1)CO
NVIC0042,S(c1nc(nc2n(c(=O)n(c(=O)c12)C)C)c1occc1)CC(=O)NCCc1ccccc1
