nvic id,Aliphatic or Cyclic,Molecular Weight,HB Acceptors,HB Donors,Rotatable Bonds,LogP,TPSA
NVIC0049,Aliphatic,55.85,0,0,0,0,0
NVIC0039,Cyclic,135.13,4,2,0,-0.06,80.48
NVIC0092,Cyclic,157.1,3,2,1,-0.99,88.84
NVIC0061,Cyclic,171.24,2,2,3,1.37,63.32
NVIC0051,Cyclic,194.19,6,0,0,-1.03,61.82
NVIC0130,Cyclic,203.24,1,2,4,2.58,53.09
NVIC0104,Cyclic,207.19,4,2,3,0.27,91.65
NVIC0048,Cyclic,222.33,2,2,0,3.69,40.46
NVIC0029,Cyclic,225.1,2,1,5,0.77,35.25
NVIC0108,Cyclic,228.22,6,1,1,0.18,88.83
NVIC0031,Cyclic,229.63,5,4,1,-1.29,159.29
NVIC0059,Cyclic,233.18,3,3,2,0.92,107.46
NVIC0131,Cyclic,233.18,3,3,2,0.92,107.46
NVIC0065,Cyclic,244.21,8,4,3,-3.01,143.72
NVIC0110,Cyclic,245.19,8,4,2,-3.46,137.67
NVIC0116,Aliphatic,245.27,0,0,0,2.07,0
NVIC0021,Cyclic,250.28,5,3,2,1.54,82.41
NVIC0035,Cyclic,252.27,2,2,2,1.77,58.2
NVIC0113,Aliphatic,255.74,9,0,0,-1.1,198.6
NVIC0119,Aliphatic,256.03,7,1,5,-5.63,140.62
NVIC0017,Cyclic,259.22,7,6,3,-2.63,161.92
NVIC0093,Cyclic,259.35,3,2,6,2.58,41.49
NVIC0085,Cyclic,267.24,7,4,3,-2.43,130.83
NVIC0081,Cyclic,267.25,8,5,2,-1.91,150.4
NVIC0071,Cyclic,272.26,5,3,1,2.51,86.99
NVIC0011,Cyclic,276.29,3,0,0,4.1,47.28
NVIC0030,Cyclic,282.38,2,0,1,4.11,34.14
NVIC0079,Aliphatic,282.47,1,1,15,6.11,37.3
NVIC0086,Cyclic,284.23,9,4,3,-1.93,179.59
NVIC0008,Cyclic,285.73,2,1,2,3.86,42.09
NVIC0089,Cyclic,289.36,3,1,3,1.89,21.7
NVIC0078,Cyclic,291.27,9,4,2,-1.86,149.92
NVIC0050,Cyclic,295.39,5,1,2,3.06,69.62
NVIC0038,Cyclic,296.35,8,3,3,0,106.42
NVIC0069,Cyclic,297.34,9,3,3,-0.61,119.31
NVIC0037,Cyclic,299.77,5,3,4,0.36,136.51
NVIC0090,Cyclic,303.83,2,0,8,4.19,12.47
NVIC0125,Cyclic,307.36,9,2,6,0.97,116.06
NVIC0129,Cyclic,307.36,9,2,7,0.97,116.06
NVIC0091,Cyclic,312.41,2,0,1,2.53,40.62
NVIC0122,Cyclic,314.26,6,1,4,1.74,118.05
NVIC0082,Cyclic,315.46,2,1,4,4.47,46.17
NVIC0009,Cyclic,319.76,6,4,3,0.54,145.3
NVIC0054,Cyclic,319.88,3,1,8,4.81,28.16
NVIC0114,Cyclic,326.4,6,2,1,-0.3,81.08
NVIC0128,Cyclic,337.31,6,1,4,1.74,89.77
NVIC0028,Cyclic,344.31,11,9,8,-5.76,200.53
NVIC0057,Cyclic,344.85,2,0,4,5.38,17.82
NVIC0141,Cyclic,346.24,9,5,4,-1.42,172.66
NVIC0083,Cyclic,346.34,7,1,4,2.18,107.77
NVIC0124,Cyclic,349.34,4,2,5,3.47,96.61
NVIC0142,Cyclic,352.48,4,2,1,3.24,50.36
NVIC0034,Cyclic,353.41,6,1,4,2.39,89.77
NVIC0134,Cyclic,358.49,1,1,3,5,36.1
NVIC0137,Cyclic,370.34,8,1,3,1.33,108.48
NVIC0025,Cyclic,372.49,5,0,4,3.78,51.66
NVIC0053,Cyclic,372.49,5,0,4,1.75,74.76
NVIC0062,Cyclic,372.54,2,0,4,4.46,9.49
NVIC0127,Cyclic,376.42,9,2,6,2.29,100.45
NVIC0120,Cyclic,382.27,5,2,5,4.06,78.87
NVIC0040,Cyclic,383.43,6,3,3,2.51,131.91
NVIC0066,Cyclic,384.25,6,4,9,0.36,124.44
NVIC0097,Cyclic,384.65,1,1,6,7.62,20.23
NVIC0132,Cyclic,385.47,2,2,4,4.45,61.44
NVIC0016,Cyclic,385.58,1,0,7,5.95,6.25
NVIC0139,Cyclic,386.34,9,2,3,1.04,128.71
NVIC0084,Cyclic,387.52,3,1,8,5.7,32.7
NVIC0095,Cyclic,388.4,3,3,3,3.76,82.59
NVIC0043,Cyclic,390.44,6,2,4,1.99,85.25
NVIC0136,Cyclic,390.49,6,3,5,2.21,95.5
NVIC0019,Cyclic,391.44,9,3,6,2.6,107.79
NVIC0126,Cyclic,394.47,5,0,2,2.77,68.61
NVIC0032,Cyclic,394.51,5,1,10,3.86,77.1
NVIC0100,Cyclic,400.65,2,2,6,6.73,40.46
NVIC0005,Cyclic,401.5,6,0,4,3.89,63.91
NVIC0118,Cyclic,402.66,2,2,5,6.5,40.46
NVIC0138,Cyclic,404.79,8,1,3,1.99,108.48
NVIC0041,Cyclic,407.54,5,1,6,3.8,58.36
NVIC0073,Cyclic,408.81,3,1,4,4.62,51.1
NVIC0087,Cyclic,413.61,3,3,9,4.56,68.36
NVIC0020,Cyclic,414.47,10,2,6,1.31,104.57
NVIC0067,Cyclic,418.44,3,2,3,5.53,58.2
NVIC0094,Cyclic,425.44,6,2,4,3.4,93.31
NVIC0018,Cyclic,445.44,9,8,9,-0.28,211.56
NVIC0107,Cyclic,446.52,9,3,7,3.25,116.66
NVIC0101,Cyclic,446.72,4,0,0,6.34,24.94
NVIC0003,Cyclic,447.54,4,2,1,2.44,87.74
NVIC0023,Cyclic,447.54,4,2,0,2.74,87.74
NVIC0042,Cyclic,451.51,9,1,7,1.74,112.02
NVIC0052,Cyclic,454.61,6,0,13,5.09,63.95
NVIC0047,Cyclic,459.97,4,2,8,4.82,87.07
NVIC0001,Cyclic,460.46,4,2,4,5.76,72.94
NVIC0004,Cyclic,461.44,3,0,2,4.85,54.45
NVIC0006,Cyclic,464.65,4,1,9,4.99,58.64
NVIC0044,Cyclic,469.97,5,1,6,5.74,70.75
NVIC0022,Cyclic,472.5,8,2,0,1.83,113.76
NVIC0088,Cyclic,475.63,5,3,14,3.59,113.6
NVIC0045,Cyclic,476.58,2,2,4,6.4,64.68
NVIC0013,Cyclic,479.51,7,2,7,6.36,76.5
NVIC0046,Cyclic,480.96,6,1,5,5.06,83.84
NVIC0036,Cyclic,484.58,7,0,3,5.37,72.86
NVIC0060,Cyclic,484.6,4,0,3,5.62,74.76
NVIC0007,Cyclic,485.54,7,2,2,2.25,105.56
NVIC0010,Cyclic,493.55,9,7,3,-0.19,172.7
NVIC0027,Cyclic,493.6,5,1,0,3.37,98.77
NVIC0112,Cyclic,495.64,5,1,11,5.27,67.45
NVIC0135,Cyclic,502.66,6,2,6,5.15,68.82
NVIC0012,Cyclic,504.44,16,11,8,-7.57,268.68
NVIC0105,Cyclic,504.44,16,11,11,-7.73,276.52
NVIC0063,Cyclic,504.45,8,6,0,5.08,155.52
NVIC0055,Cyclic,508.92,4,1,9,5.17,100.39
NVIC0117,Cyclic,515.87,5,7,8,2.95,183.68
NVIC0099,Cyclic,516.55,8,5,6,5.4,144.52
NVIC0014,Cyclic,523.63,7,3,7,5.53,126.68
NVIC0102,Cyclic,530.46,8,1,9,5.19,82.88
NVIC0106,Cyclic,531.2,14,7,8,-1.51,289.51
NVIC0074,Cyclic,531.42,5,2,6,4.41,97.43
NVIC0026,Cyclic,540.06,6,1,9,6.53,79.98
NVIC0033,Cyclic,541.42,8,0,5,3.49,86.96
NVIC0058,Cyclic,543.53,12,6,5,0,206.07
NVIC0075,Cyclic,548.44,6,1,7,5.18,80.64
NVIC0076,Cyclic,549.43,6,1,6,4.68,83.88
NVIC0077,Cyclic,561.44,6,1,6,4.99,83.88
NVIC0111,Cyclic,567.06,9,3,9,3.2,154.25
NVIC0015,Cyclic,602.59,13,4,13,2.31,203.55
NVIC0002,Cyclic,606.72,8,0,2,6.87,61.86
NVIC0098,Cyclic,610.52,16,10,6,-1.69,269.43
NVIC0056,Cyclic,616.84,8,3,15,5.75,130.36
NVIC0123,Cyclic,622.76,8,0,4,7.16,61.86
NVIC0080,Cyclic,650.76,12,2,13,3.93,171.96
NVIC0024,Cyclic,656.5,18,12,7,-3.27,326.96
