name,smiles,mol_wt,hbd,hba,rotatable_bonds,logP,tpsa
1-avr-enamine,Cc1cc(NC(=O)NC2CCCNC2=O)n(C)n1,251.138224784,3,4,2,0.12861999999999957,88.05
2-avr-enamine,Cc1cc(NC(=O)NC2CC2)n(CCC#N)n1,233.12766009999999,2,4,4,1.3890999999999998,82.74
3-avr-enamine,NC(=O)CN1CCC(CC1)NC(=O)Nc1cccnc1N1CCCC1,346.21172407200004,3,5,5,0.7530000000000003,103.59
4-avr-enamine,Cc1cc(NC(=O)NCCCN2CCCCCC2)n(C)n1,293.221560484,2,4,5,2.1161199999999996,62.190000000000005
5-avr-enamine,O=C(NC(C1CC1)C1CC1)Nc1nncs1,238.088832068,2,4,4,1.8481999999999998,66.91
6-avr-enamine,CC(=O)N1CCN(CC1)C(=O)NCCn1ccnc1,265.153874848,1,4,3,-0.2431999999999992,70.47
7-avr-enamine,COCCOc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)C)cn1,321.16885621600005,1,5,7,0.7339,80.76
8-avr-enamine,Cc1ccc(=O)n(CC(=O)NCCC23CC4CC(CC(C4)C2)C3)n1,329.21032710400004,1,4,5,2.27442,63.99
9-avr-enamine,COc1ccnc(NC(=O)C2CCC(C)O2)c1,236.116092372,1,4,3,1.5961999999999996,60.45
10-avr-enamine,CC(OCC1CCCO1)C(=O)Nc1cc(c[nH]c1=O)C(F)(F)F,334.11404168400003,2,4,5,1.9163000000000001,80.42
11-avr-enamine,O=C(Cn1ccc(=O)[nH]c1=O)NCC1CCOC1,253.10625596,2,5,4,-1.3106999999999993,93.19000000000001
12-avr-enamine,CC1CCCCC1OCCNC(=O)Cc1c(C)noc1C,294.194342692,1,4,6,2.54544,64.36
13-avr-enamine,Cn1cc(CCNC(=O)NCC2(C)CCCS2)cn1,282.151432324,2,4,5,1.5474999999999999,58.95
14-avr-enamine,COCCn1nc(ccc1=O)C(=O)NC1CCN(CC1)C(C)C,322.20049069199996,1,6,6,0.4923000000000013,76.46
15-avr-enamine,[O-][N+](=O)c1cn(CC(=O)NCC2C3CC4CC(C3)CC2C4)ccc1=O,345.168856216,1,5,5,1.9449999999999996,94.24000000000001
16-avr-enamine,COCCn1nc(ccc1=O)C(=O)NC1CCCC(C)C1,293.173941596,1,5,5,1.1981999999999995,73.22
17-avr-enamine,COCCOc1ncccc1C(=O)N1CCC(CC(=O)N)CC1,321.16885621600005,1,5,7,0.8344000000000006,94.75
18-avr-enamine,Cc1cc(NC(=O)NCCCN2CCCC2=O)ccn1,276.15862588,2,3,5,1.5240199999999997,74.33000000000001
19-avr-enamine,CC1CCC(CC1)NC(=O)Cn1cnc(C#N)n1,247.14331016399998,1,5,3,0.8446800000000001,83.60000000000001
20-avr-enamine,CCC1CN(CCO1)C(=O)CNC(C)Cn1cc(C)cn1,294.205576072,1,5,6,0.8070200000000001,59.39
21-avr-enamine,COCCn1c(nc2n(C)c(=O)[nH]c(=O)c12)N1CCCC(C)C1,321.180089596,1,7,4,0.3060000000000005,85.14999999999999
22-avr-enamine,CCOCCn1c(nc2n(C)c(=O)[nH]c(=O)c12)N1CCCC(C)C1,335.19573966,1,7,5,0.6961000000000002,85.14999999999999
23-avr-enamine,CC(C)c1noc(CCNC(=O)N2CCCCC2C)n1,280.189926008,1,4,4,2.3195000000000006,71.26
24-avr-enamine,CN(C)c1ccc(NC(=O)NC2CCN(CC2)C(=O)C2CC2)cn1,331.20082504000004,2,4,4,1.6700999999999995,77.57000000000001
25-avr-enamine,COc1ccc(OCCn2c(CCO)nc3ccccc23)cc1,312.1473925,1,5,7,2.6587000000000005,56.510000000000005
26-avr-enamine,Cc1ncn(CC(O)COc2cccc3[nH]ccc23)c(=O)c1C,313.142641468,2,5,5,1.7813399999999997,80.14
27-avr-enamine,CN(C)c1cccc(NC(=O)NC2CCN(C)CC2)n1,277.190260356,2,4,3,1.3632999999999997,60.50000000000001
28-avr-enamine,Cc1cc(OCC(O)Cn2cnc3cc(C)c(C)cc23)nnc1C,326.17427594400004,1,6,5,2.499880000000001,73.06
29-avr-enamine,Cc1cccc(NC(=O)NC2CCOC(C)(C)C2)n1,263.163376912,2,3,2,2.46912,63.25
30-avr-enamine,CCC(CC#N)NC(=O)Nc1ncn(n1)C1CCCCC1,290.18550932399995,2,5,5,2.597080000000001,95.63000000000001
31-avr-enamine,CC1CCC=C(C)C1CNCC(C)(O)c1cnn(C)c1,277.215412484,2,4,5,2.2096,50.08
32-avr-enamine,NC(=O)Cc1csc(N)n1,157.030982844,2,4,2,-0.24690000000000023,82.0
33-avr-enamine,Cl.Cl.Cc1nc(C)n(n1)C1CNC1,224.05955180799998,1,4,1,0.8828399999999998,42.74
34-avr-enamine,OC(=O)Cn1ccc(=O)[nH]c1=O,170.032756672,2,4,2,-1.3788,92.16
35-avr-enamine,Clc1c(NC2CC3CCC2O3)cn[nH]c1=O,241.061804304,2,4,2,1.1550999999999998,67.00999999999999
36-avr-enamine,CCc1ncnc(NC2COCC2O)c1F,227.107004908,2,5,3,0.3496999999999995,67.27000000000001
37-avr-enamine,CC(NCCn1cccn1)C(=O)N1CCCC1,236.16371125999999,1,4,5,0.48359999999999936,50.160000000000004
38-avr-enamine,O=C(CNCCn1cccn1)NC1(CCCCCC1)C#N,289.190260356,2,5,6,1.2054799999999988,82.74000000000001
39-avr-enamine,Cc1nnc(NC(=O)NCCN2CCCC2)s1,255.11538116399998,2,5,4,1.0638199999999995,70.14999999999999
40-avr-enamine,CC(CNC(=O)Nc1ncccc1C)N1CCOCC1,278.174275944,2,4,4,1.2322199999999996,66.49000000000001
