name,smiles,mol_wt,hbd,hba,rotatable_bonds,logP,tpsa
Trimethadione,CN1C(=O)OC(C)(C)C1=O,143.058243148,0,3,0,0.37359999999999993,46.61
Bemegride,CCC1(C)CC(=O)NC(=O)C1,155.094628656,1,2,1,0.8392999999999999,46.17
Carbocisteine,N[C@@H](CSCC(=O)O)C(=O)O,179.025228768,3,4,5,-0.7838999999999998,100.62000000000002
Bethanidine iodide,I.CN/C(=N\C)/NCc1ccccc1,305.03889551199995,2,1,2,1.5994,36.42
Aminacrine,Nc1c2ccccc2nc2ccccc12,194.08439832,1,2,0,2.970200000000001,38.91
Hydrochlorothiazide,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl,296.964475416,3,5,1,-0.35129999999999945,118.35999999999999
Naproxen,COc1ccc2cc(ccc2c1)[C@H](C)C(=O)O,230.094294308,1,2,3,3.036500000000001,46.53
Sulfamerazine,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,264.068096624,2,5,3,1.16802,97.97
Ensulizole,OS(=O)(=O)c1ccc2nc([nH]c2c1)c1ccccc1,274.04121318,2,3,2,2.4766000000000004,83.04999999999998
Vorinostat,ONC(=O)CCCCCCC(=O)Nc1ccccc1,264.1473925,3,3,8,2.4711,78.43
Stearic acid,CCCCCCCCCCCCCCCCCC(=O)O,284.271530392,1,1,16,6.332500000000007,37.3
Fenoldopam mesylate,CS(=O)(=O)O.Oc1ccc(cc1)C1CNCCc2c(Cl)c(O)c(O)cc12,401.06998603999995,5,6,1,2.2384000000000013,127.09000000000002
Nitazoxanide,CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+](=O)[O-],307.026291388,1,7,4,2.2289000000000003,111.43
Tetrabenazine Racemate,COc1cc2CCN3CC(CC(C)C)C(=O)CC3c2cc1OC,317.199093724,0,4,4,3.238100000000002,38.769999999999996
Clofazimine,CC(C)/N=c/1\cc2n(c3ccc(Cl)cc3)c3ccccc3nc2cc1Nc1ccc(Cl)cc1,472.12215206400003,1,4,4,7.489800000000005,42.21
Buspirone hydrochloride,Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1,421.22445294400006,0,6,6,2.5100000000000007,69.64000000000001
Maraviroc,CC(C)c1nnc(C)n1C1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,513.327917372,1,5,8,5.950920000000006,63.050000000000004
Etofenamate,OCCOCCOC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F,369.118792716,2,5,8,3.6147000000000027,67.78999999999999
Thiamine hydrochloride,Cl.[Cl-].Cc1c(CCO)sc[n+]1Cc1cnc(C)nc1N,336.05783755600004,2,5,4,-1.9664599999999979,75.91
Plerixafor,C(N1CCCNCCNCCCNCC1)c1ccc(CN2CCCNCCNCCCNCC2)cc1,502.44714372800007,6,8,4,0.4158000000000071,78.66
Cisatracurium besilate,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC.[O-]S(=O)(=O)c1ccccc1.[O-]S(=O)(=O)c1ccccc1,1242.500405784,0,18,26,9.246900000000004,240.84
SN-38,CCc1c2Cn3c(cc4c(COC(=O)[C@]4(O)CC)c3=O)c2nc2ccc(O)cc12,392.13722174,2,7,2,2.3476,101.65
Tenoxicam,CN1C(=C(O)c2sccc2S1(=O)=O)C(=O)Nc1ccccn1,337.01909783200006,2,6,2,1.6425,99.60000000000001
Scopolamine hydrobromide trihydrate,O.O.O.Br.CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1,437.1049143359999,1,5,4,-0.9780999999999989,156.79999999999998
Clarithromycin,CCC1OC(=O)[C@H](C)C(O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC,747.476891268,4,14,8,2.4397000000000046,182.91
Isosorbide dinitrate,[O-][N+](=O)O[C@@H]1CO[C@@H]2[C@H](CO[C@H]12)O[N+](=O)[O-],236.028065216,0,8,4,-1.0622000000000003,123.20000000000002
Edoxaban,CN(C)C(=O)[C@H]1CC[C@H](NC(=O)C(=O)Nc2ccc(Cl)cn2)[C@@H](C1)NC(=O)c1nc2CCN(C)Cc2s1,547.1768511200002,3,8,5,1.2896000000000005,136.63
Triprolidine hydrochloride,Cl.Cc1ccc(cc1)/C(=C\CN1CCCC1)/c1ccccn1,314.15497641600007,0,2,4,4.339320000000003,16.130000000000003
Benzyl alcohol,OCc1ccccc1,108.057514876,1,1,1,1.1789,20.23
Chlorzoxazone,Clc1ccc2oc(=O)[nH]c2c1,168.993056048,1,2,0,1.7744999999999997,46.0
Carbamoylcholine chloride,[Cl-].C[N+](C)(C)CCOC(=O)N,182.0822054,1,2,3,-3.2080999999999964,52.32
Metaraminol bitartrate,C[C@H](N)[C@H](O)c1cccc(O)c1.O[C@H]([C@@H](O)C(=O)O)C(=O)O,317.111066568,7,7,5,-1.3497999999999999,181.54
Nicotine,CN1CCC[C@H]1c1cccnc1,162.115698448,0,2,1,1.8483,16.130000000000003
Zonisamide,NS(=O)(=O)Cc1noc2ccccc12,212.025563116,1,4,2,0.6163,86.19000000000001
Abametapir,Cc1ccc(nc1)c1ccc(C)cn1,184.100048384,0,2,1,2.760440000000001,25.78
S-Medetomidine hydrochloride,Cl.C[C@H](c1c[nH]cn1)c1cccc(C)c1C,236.10802622399999,1,1,2,3.6001400000000015,28.68
Propranolol hydrochloride,Cl.CC(C)NCC(O)COc1cccc2ccccc12,295.13390662399996,2,3,6,2.9993000000000016,41.489999999999995
Tenofovir,C[C@H](Cn1cnc2c(N)ncnc12)OCP(=O)(O)O,287.078340558,3,7,5,-0.051200000000000134,136.38000000000002
Anastrozole,CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N,293.16404560800004,0,5,4,2.9287600000000014,78.28999999999999
Propafenone hydrochloride,Cl.CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,377.175771436,2,4,11,3.6632000000000025,58.559999999999995
Piketoprofen,CC(C(=O)Nc1cc(C)ccn1)c1cccc(c1)C(=O)c1ccccc1,344.15247788,1,3,5,4.363220000000003,59.06
Phenol red,Oc1ccc(cc1)C1(OS(=O)(=O)c2ccccc12)c1ccc(O)cc1,354.056194548,2,5,2,3.108600000000002,83.83
Gliquidone,COc1ccc2c(c1)C(=O)N(CCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1)C(=O)C2(C)C,527.2090067759999,2,6,7,3.518500000000002,121.88
Cefoperazone,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc2nnnn2C)c2ccc(O)cc2)C(=O)C1=O,645.1424008240001,4,13,9,-1.1119999999999963,220.25999999999996
spectinomycin dihydrochloride pentahydrate,O.O.O.O.O.Cl.Cl.CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)[C@@H](O[C@H](C)CC3=O)O[C@@H]2[C@H]1O,494.16452995199984,5,9,2,-6.20549999999999,287.01
Apixaban,COc1ccc(cc1)n1nc(C(=O)N)c2CCN(C(=O)c12)c1ccc(cc1)N1CCCCC1=O,459.19065428,1,6,5,2.699600000000001,110.75999999999999
Glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,307.083806264,6,6,9,-2.2060999999999984,158.82
Aztreonam,C[C@H]1[C@H](NC(=O)/C(=N/OC(C)(C)C(=O)O)/c2csc(N)n2)C(=O)N1S(=O)(=O)O,435.051854504,4,10,7,-1.1724999999999979,201.57999999999998
Clomipramine hydrochloride,Cl.CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc12,350.131654128,0,2,4,4.950200000000005,6.48
