name,smiles,mol_wt,hbd,hba,rotatable_bonds,logP,tpsa
NVIC0001,NCC(=O)Nc1ccc(cc1)n1nc(cc1c1ccc2c(c1)ccc1c2cccc1)C(F)(F)F,460.15109588800004,2,4,4,5.761700000000002,72.94
NVIC0002,COc1cc2CCN([C@H]3c2cc1Oc1c2c(CCN([C@H]2Cc2ccc(Oc4cc(C3)ccc4OC)cc2)C)cc2c1OCO2)C,606.272986936,0,8,2,6.873900000000008,61.860000000000014
NVIC0003,CC(=C)[C@H]1Oc2c(C1)c1NC(=O)[C@@]3(c1cc2)C[C@@]12[C@@H](C3(C)C)C[C@@]3(C(=O)N1)N(C2=O)CCC3,447.21580640800005,2,4,1,2.4356999999999998,87.73999999999998
NVIC0004,O=C1N(c2cccc(c2)C(F)(F)F)C(=O)[C@H]2[C@H]1C1c3ccccc3C2(c2c1cccc2)C(=O)C,461.123878096,0,3,2,4.845200000000004,54.45
NVIC0005,O=C(N1CCCc2c1cccc2)CSc1nnnn1c1cccc2c1cccc2,401.13103122800004,0,6,4,3.887000000000003,63.910000000000004
NVIC0006,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2NCCCCCCN1C(=O)C=CC1=O)C,464.30389313999996,1,4,9,4.994900000000004,58.64
NVIC0007,CC(C[C@@H]1N[C@@H]2N(C1=O)c1c([C@@]32C[C@@H]2C(=O)N[C@@](O3)(C)c3n2c(=O)c2c(n3)cccc2)cccc1)C,485.20630434400005,2,7,2,2.2465,105.55999999999999
NVIC0008,COc1ccccc1c1cc2ccc(cc2[nH]c1=O)Cl,285.05565630399997,1,2,2,3.8571000000000017,42.09
NVIC0009,N/C(=N\Cc1ccccc1)/NC(=O)c1nc(Cl)c(nc1N)N,319.09483574800004,4,6,3,0.5390999999999997,145.29999999999998
NVIC0010,C[C@H]1CC[C@]2([C@@]3([C@@H]1O)O[C@@]1([C@]4([C@@]3(O)[C@@]([C@@]2(C)C1)(O)[C@@H]([C@]4(O)C(C)C)OC(=O)c1[nH]ccc1)C)O)O,493.2311816999999,7,9,3,-0.18760000000000115,172.7
NVIC0011,Cc1coc2c1C(=O)C(=O)c1c2ccc2c1cccc2C,276.078644244,0,3,0,4.095640000000003,47.28
NVIC0012,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O,504.1690349439998,11,16,8,-7.571399999999989,268.67999999999995
NVIC0013,COc1ccc2c(c1)nc(s2)NC(c1ccc2c(c1O)nccc2)c1ccc(cc1)OC(F)F,479.111518908,2,7,7,6.361600000000005,76.5
NVIC0014,CNc1ccc2c(c1C(=O)O)nc(o2)C[C@H]1O[C@@]2(CC[C@H]1C)O[C@@H]([C@@H](C[C@H]2C)C)[C@@H](C(=O)c1ccc[nH]1)C,523.268235904,3,7,7,5.529800000000005,126.68
NVIC0015,CCC(COC(=O)[C@@H](N[P@@](=O)(Oc1ccccc1)OC[C@H]1O[C@@]([C@@H]([C@@H]1O)O)(C#N)c1ccc2n1ncnc2N)C)CC,602.2253987099999,4,13,13,2.3121799999999997,203.54999999999998
NVIC0016,CCN(c1ccc(cc1)/C(=C/1\C=CC(=[N+](CC)CC)C=C1)/c1ccccc1)CC,385.26382547609,0,1,7,5.954000000000007,6.25
NVIC0017,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)c1n[nH]c(c1O)C(=O)N,259.080435136,6,7,3,-2.631799999999999,161.92000000000002
NVIC0018,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)NCC1CNc2c(N1)c(=O)[nH]c(n2)N,445.1709814560001,8,9,9,-0.28199999999999925,211.55999999999997
NVIC0019,Oc1ccc(cc1)/C=N\Nc1nc(Nc2ccccc2)nc(n1)N1CCOCC1,391.17567291200004,3,9,6,2.6033999999999997,107.79
NVIC0020,COc1cc(/C=N\Nc2cc(nc(n2)N2CCOCC2)N2CCOCC2)ccc1O,414.201553312,2,10,6,1.31,104.57000000000001
NVIC0021,COc1ccc(cc1O)/C=C\1/SC(=N)NC1=O,250.04121318,3,5,2,1.5394699999999997,82.41
NVIC0022,C[C@@H]1N[C@@H]2N(C1=O)c1c([C@]32C[C@@H]2[C@@](O3)(O)C(C)(C)C(=O)c3n2c(=O)c2ccccc2n3)cccc1,472.174669868,2,8,0,1.828899999999999,113.76
NVIC0023,O=C1Nc2c([C@]31C[C@@]14[C@@H](C3(C)C)C[C@@]3(C(=O)N1)N(C4=O)CCC3)cc1c(c2)OC(C=C1)(C)C,447.215806408,2,4,0,2.7403000000000004,87.74000000000001
NVIC0024,OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3O[C@@H]2O[C@H](C(=O)O)[C@H]([C@@H]([C@H]2O)O)O)O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,656.1224786759999,12,18,7,-3.2678999999999987,326.96000000000004
NVIC0025,O=C(N(c1nc2c(s1)CCCC2)C)COc1cccc2c1OC(C2)(C)C,372.150763628,0,5,4,3.777200000000003,51.66000000000001
NVIC0026,S=C1S/C(=C\c2ccc(o2)c2ccc(c(c2)C(=O)O)Cl)/C(=O)N1CCc1ccc(cc1)OCC1CC1,539.0627924839999,1,6,9,6.530900000000005,79.97999999999999
NVIC0027,C[C@@H]1C[C@]23[N+](C1)([O-])C[C@]1([C@@H](C2)C(C)(C)[C@@]2(C1)C(=O)Nc1c2ccc2c1C(=O)CC(O2)(C)C)N(C3=O)C,493.25767121999996,1,5,0,3.374100000000002,98.76999999999998
NVIC0028,OC[C@H]([C@H]([C@@H]([C@H](CO)O)O)O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)O,344.13186158799994,9,11,8,-5.761199999999992,200.52999999999997
NVIC0029,NCCOB(c1ccccc1)c1ccccc1,225.132494532,1,2,5,0.7675999999999994,35.25
NVIC0030,CC(C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C)C,282.161979944,0,2,1,4.105300000000004,34.14
NVIC0031,NC(=NC(=O)c1nc(Cl)c(nc1N)N)N,229.04788555599998,4,5,1,-1.2920000000000003,159.29000000000002
NVIC0032,CCCCN(C(=O)c1ccc(c(c1)OC)OC)CCCNC(=O)OC(C)(C)C,394.24677218799997,1,5,10,3.8609000000000027,77.10000000000001
NVIC0033,CCOC(=O)C1=C(C)N=c2n(C1c1ccccc1)c(=O)/c(=C\c1cc(Br)ccc1OC(=O)C)/s2,540.0354548720001,0,8,5,3.486100000000003,86.96000000000001
NVIC0034,O=S(=O)(C1=Cc2c(CC1)cccc2)Nc1ccc(cc1)n1cnnn1,353.09464572000013,1,6,4,2.3913,89.77
NVIC0035,O=C1NC(=O)NC1(c1ccccc1)c1ccccc1,252.089877624,2,2,2,1.7695999999999998,58.2
NVIC0036,C[C@H]1O[C@H](C)CN(C1)C1=NC(=O)/C(=C/c2cn(nc2c2cc3c(o2)cccc3)c2ccccc2)/S1,484.156911628,0,7,3,5.365000000000005,72.86
NVIC0037,CCN(c1nc(N)c(nc1Cl)C(=O)N=C(N)N)C(C)C,299.126135876,3,5,4,0.3605000000000007,136.51000000000002
NVIC0038,CSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc2c1ncnc2N,296.09431137200005,3,8,3,-0.0043000000000000815,106.41999999999999
NVIC0039,Nc1ncnc2c1[nH]cn2,135.05449516,2,4,0,-0.06490000000000012,80.48
NVIC0040,Oc1ccc2c(c1)o/c(=N\c1sc3c(c1C(=O)N)CCCC3)/c(c2)C(=O)N,383.093977024,3,6,3,2.5088999999999997,131.91000000000003
NVIC0041,OCc1cnc(n1Cc1ccc(cc1)C)SCC(=O)N1CCCc2c1cccc2,407.16674804,1,5,6,3.803620000000003,58.36000000000001
NVIC0042,O=C(CSc1nc(nc2c1c(=O)n(C)c(=O)n2C)c1ccco1)NCCc1ccccc1,451.131425152,1,9,7,1.738199999999999,112.02
NVIC0043,Fc1ccc(cc1)n1nc2c(c1NC(=O)C(=O)NCC1CCCO1)CSC2,390.116189688,2,6,4,1.9918999999999993,85.25
NVIC0044,S=C1S/C(=C\c2ccc(o2)c2ccc(c(c2)C(=O)O)Cl)/C(=O)N1CCc1ccccc1,469.02092767199997,1,5,6,5.742100000000004,70.74999999999999
NVIC0045,O=C(N1CCN(CC1)C(=O)Nc1cccc(c1)c1ccccc1)Nc1cccc(c1)c1ccccc1,476.221226136,2,2,4,6.402200000000006,64.68
NVIC0046,N#Cc1ccc(cc1)C(c1cncn1Cc1ccc2c(c1)c(cc(=O)n2C)c1cccc(c1)Cl)O,480.135303592,1,6,5,5.0570800000000045,83.84
NVIC0047,Clc1ccc(cc1)C(c1ccccc1)(OCC[C@H]1CCCN1C)C.OC(=O)/C=C/C(=O)O,459.1812507399999,2,4,8,4.816200000000004,87.07000000000001
NVIC0048,CC(c1cc(O)c(cc1O)C(C)(C)C)(C)C,222.161979944,2,2,0,3.6928000000000027,40.46
NVIC0049,[Fe],55.9349375,0,0,0,-0.0025,0.0
NVIC0050,Cc1cccc(c1)Cc1nn(c2c1c(N)ncn2)C(C)(C)C,295.179695672,1,5,2,3.0627200000000014,69.62
NVIC0051,Cn1cnc2c1c(=O)n(C)c(=O)n2C,194.08037556,0,6,0,-1.0293,61.82
NVIC0052,COc1ccc(cc1OC)CCN(CCCC(c1ccc(c(c1)OC)OC)(C(C)C)C#N)C,454.283157696,0,6,13,5.093080000000005,63.95
NVIC0053,CN(S(=O)(=O)c1ccc2c(c1)CCN2S(=O)(=O)c1cccs1)C,372.027219992,0,5,4,1.7498000000000005,74.76
NVIC0054,CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,319.18152551199995,1,3,8,4.8106000000000035,28.16
NVIC0055,CCN(CCCC(Nc1c2cc(OC)ccc2nc2c1ccc(c2)Cl)C)CC.Cl.Cl.O.O,507.1822250519999,1,4,9,5.166600000000008,100.39
