name,smiles,mol_wt,hbd,hba,rotatable_bonds,logP,tpsa
1Pathogen_box,CC(C)CNS(=O)(=O)c1ccc(CCC(=O)Nc2ccc(Cl)cc2C)cc1,408.12744134,2.0,3.0,8.0,4.154020000000004,75.27
2Pathogen_box,COc1ccc(OC(C)C(=O)Nc2ccc(Cl)cc2C)cc1,319.097521116,1.0,3.0,5.0,4.0630200000000025,47.56
3Pathogen_box,Oc1c(C(=O)Nc2cccnc2)c(=O)n2CCc3cccc1c23,307.095691276,2.0,5.0,2.0,1.9105,84.22
4Pathogen_box,CC(C)n1ncc2c(cc(nc12)c1ccccc1)C(=O)NCC(N1CCOCC1)c1cccs1,475.20419616800007,1.0,7.0,7.0,4.544000000000003,72.28
5Pathogen_box,CCOC(=O)c1c(C)c(sc1NC(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)N,422.035968932,2.0,5.0,5.0,3.2799199999999997,98.49
6Pathogen_box,NC(CC(=O)c1ccc(Cl)cc1Cl)C(Cl)(Cl)Cl,332.904852276,1.0,2.0,3.0,4.263700000000001,43.09
7Pathogen_box,O=C(C1CCN(CC1)c1nnc(s1)n1cccc1)N1CCC(Cc2ccccc2)CC1,435.20928154800004,0.0,6.0,5.0,4.026500000000003,54.260000000000005
8Pathogen_box,CCOC(=O)NC(=O)c1ccsc1NC(=O)c1nc2ccccc2s1,375.034747896,2.0,7.0,4.0,3.4964000000000013,97.39
9Pathogen_box,FC(F)(F)c1nnc2ccc(Cl)nn12,221.992008404,0.0,4.0,0.0,1.7964999999999995,43.08
10Pathogen_box,O=C(NCCc1cnc2ccccc12)c1cc2ccccc2oc1=O,,,,,,
11Pathogen_box,COc1ccc(cc1OC)c1onc(n1)c1cccc(NC(=O)Cc2ccc(F)cc2)c1,433.14378433999997,1.0,6.0,7.0,4.741100000000004,86.47999999999999
12Pathogen_box,O=C(CCC1CCCCC1)Nc1cccc(c1)c1oc(nn1)c1occc1,365.173941596,1.0,5.0,6.0,5.295600000000005,81.16000000000001
13Pathogen_box,CC1COC2(CCN(CC2)c2nc(=O)c3cc(cc(c3s2)[N+](=O)[O-])C(F)(F)F)O1,431.076276272,0.0,8.0,2.0,3.3153000000000015,94.8
14Pathogen_box,CCCCS(=O)(=O)Nc1ccc2cnn(C)c2c1,267.104147784,1.0,4.0,5.0,2.1151,63.99
15Pathogen_box,Cc1cc(C)c2cc(nc2c1)C(=O)NC1CCCCCCC1,,,,,,
16Pathogen_box,O=C(C1CCN(CC1)c1cc(ncn1)n1cccc1)N1CCc2ccccc2C1,387.20591042,0.0,5.0,3.0,3.0686000000000018,54.260000000000005
17Pathogen_box,CCc1ccc(cc1)[C@@H]1C[C@@H](n2ncc(C(=O)NCc3ccc(OC)cc3)c2N1)C(F)(F)F,458.1929607,2.0,5.0,6.0,5.044400000000004,68.18
18Pathogen_box,CC(C)(C(=O)Nc1ccc(F)cc1)n1cc(cn1)c1ccccc1F,341.133968604,1.0,3.0,4.0,4.202100000000002,46.92
19Pathogen_box,CCc1nc2ccc(Cl)cn2c1C(=O)NCc1ccc(cc1)N1CCC(CC1)c1ccc(OC(F)(F)F)cc1,556.185288476,1.0,5.0,7.0,6.762700000000005,58.870000000000005
20Pathogen_box,Fc1cc(cc(F)c1C1=CCN(Cc2ccccc2)CC1)N1C[C@H](COc2ccon2)OC1=O,467.16566265599994,0.0,6.0,7.0,4.6463000000000045,68.03999999999999
21Pathogen_box,CC1(COc2ccc(cc2)N2CCC(CC2)Oc2ccc(OC(F)(F)F)cc2)Cn2cc(nc2O1)N(=O)=O,534.17261918,0.0,9.0,8.0,4.967800000000006,101.12
22Pathogen_box,CC(=O)NCC1CN(C(=O)O1)c1ccc(c(F)c1)c1ccc(CNCc2cnnn2)cc1,,,,,,
23Pathogen_box,CC(=O)NCC1CN(C(=O)O1)c1ccc(c(F)c1)c1ccc(CO)cc1,358.132885308,2.0,4.0,5.0,2.4463,78.87
24Pathogen_box,Cc1cccc(n1)c1nc(Nc2ccncn2)c2sccc2n1,320.084415384,1.0,7.0,3.0,3.595320000000002,76.48
25Pathogen_box,Cc1cccc(Cn2ccc(NC(=O)c3ccc4OCOc4c3)n2)c1,335.126991404,1.0,5.0,4.0,3.2208200000000007,65.38000000000001
26Pathogen_box,NC(=O)COc1ccc(cc1)c1ccc(cc1)C#N,252.089877624,1.0,3.0,4.0,2.08938,76.11000000000001
27Pathogen_box,COC(=O)c1c2CCCCCc2sc1NC(=O)c1c(F)c(F)c(F)c(F)c1F,419.061455408,1.0,4.0,3.0,4.751400000000002,55.4
28Pathogen_box,CCC(Sc1oc2ccccc2n1)C(=O)Nc1nnc(C)s1,334.055817688,1.0,7.0,5.0,3.4971200000000016,80.91000000000001
29Pathogen_box,CCCn1c(CNc2ccccc2O)nc2ccccc12,281.152812228,2.0,4.0,5.0,3.764000000000002,50.08
30Pathogen_box,Cc1nc2ccccn2c1C(=O)NCc1ccc(Cl)cc1,299.082539748,1.0,3.0,3.0,3.2261200000000017,46.400000000000006
31Pathogen_box,COc1cc(nc2ccc(C)c(N)c12)C(F)(F)F,256.082347632,1.0,3.0,1.0,3.152820000000001,48.14
