ZINC000103323644; 0.281; C[C@@H]1CCC[C@@H](NC(=O)COC(=O)C2=CC=CN2)[C@H]1C
ZINC000007447135; 0.281; C[C@@H]1CCC[C@@H](NC(=O)COC(=O)C2=CC=CN2)[C@@H]1C
ZINC000007447122; 0.281; C[C@@H]1CCC[C@H](NC(=O)COC(=O)C2=CC=CN2)[C@@H]1C
ZINC000103323645; 0.281; C[C@@H]1CCC[C@H](NC(=O)COC(=O)C2=CC=CN2)[C@H]1C
ZINC000008177518; 0.269; C[C@H](OC(=O)C1=CC=CN1)C(=O)NC1CCCCCC1
ZINC000008177519; 0.269; C[C@@H](OC(=O)C1=CC=CN1)C(=O)NC1CCCCCC1
ZINC000096450761; 0.258; CCS[C@H]1CC[C@@]1(O)CNC(=O)C1=CC=CN1
ZINC000096450760; 0.258; CCS[C@@H]1CC[C@@]1(O)CNC(=O)C1=CC=CN1
ZINC000096450758; 0.258; CCS[C@@H]1CC[C@]1(O)CNC(=O)C1=CC=CN1
ZINC000096450759; 0.258; CCS[C@H]1CC[C@]1(O)CNC(=O)C1=CC=CN1
ZINC000191691537; 0.253; CCO[C@H]1C[C@@](O)(CNC(=O)C2=CC=CN2)C1(C)C
ZINC000191691524; 0.253; CCO[C@@H]1C[C@@](O)(CNC(=O)C2=CC=CN2)C1(C)C
ZINC000191691493; 0.253; CCO[C@@H]1C[C@](O)(CNC(=O)C2=CC=CN2)C1(C)C
ZINC000191691508; 0.253; CCO[C@H]1C[C@](O)(CNC(=O)C2=CC=CN2)C1(C)C
ZINC000095354646; 0.250; O[C@@H]1CCCOC11CCN(CC1)C(=O)C1=CC=CN1
ZINC000091907098; 0.250; C[C@@H]1CN(CC[C@@]1(O)C1CCOCC1)C(=O)C1=CC=CN1
ZINC000095354647; 0.250; O[C@H]1CCCOC11CCN(CC1)C(=O)C1=CC=CN1
