name1,name2,TanimotoCoefficient
NVIC_0015,cas 12637,0.8313253012048193
NVIC_0015,cas 12638,1.0
NVIC_0015,cas 12639,0.8875
NVIC_0015,cas 22586,1.0
NVIC_0015,cas 23904,0.8089887640449438
NVIC_0015,cas 24139,1.0
NVIC_0015,cas 24143,0.8313253012048193
NVIC_0015,cas 24146,0.8518518518518519
NVIC_0015,cas 24147,0.8333333333333334
NVIC_0015,cas 26883,0.8875
NVIC_0015,cas 26900,0.8875
NVIC_0015,cas 26948,0.8117647058823529
NVIC_0015,cas 26949,0.8452380952380952
NVIC_0015,cas 26950,0.8333333333333334
NVIC_0015,cas 26951,1.0
NVIC_0015,cas 26952,0.8048780487804879
NVIC_0015,cas 26953,0.8795180722891566
NVIC_0015,cas 27427,0.8117647058823529
NVIC_0015,cas 27428,0.8452380952380952
NVIC_0015,cas 27429,1.0
NVIC_0015,cas 27430,0.8795180722891566
NVIC_0015,cas 30347,1.0
NVIC_0054,cas 942,0.8125
NVIC_0054,cas 4149,0.8979591836734694
NVIC_0054,cas 5021,0.86
NVIC_0054,cas 5414,0.8775510204081632
NVIC_0054,cas 8518,0.8113207547169812
NVIC_0054,cas 11460,0.8163265306122449
NVIC_0054,cas 13211,0.86
NVIC_0054,cas 13212,0.86
NVIC_0054,cas 15318,0.8541666666666666
NVIC_0054,cas 18180,0.82
NVIC_0054,cas 19929,0.8163265306122449
NVIC_0054,cas 19930,0.8163265306122449
NVIC_0054,cas 19931,0.82
NVIC_0054,cas 19932,0.82
NVIC_0054,cas 23517,0.8431372549019608
NVIC_0054,cas 23518,0.8113207547169812
NVIC_0054,cas 23591,0.8695652173913043
NVIC_0054,cas 27846,0.8076923076923077
NVIC_0054,cas 28760,0.8775510204081632
NVIC_0054,cas 28761,0.8775510204081632
NVIC_0054,cas 28762,0.86
NVIC_0054,cas 28763,0.8113207547169812
NVIC_0054,cas 31556,1.0
NVIC_0054,cas 34467,0.8113207547169812
NVIC_0054,cas 34593,0.8333333333333334
NVIC_0054,cas 35157,0.8163265306122449
NVIC_0054,cas 37914,1.0
NVIC_0054,cas 37937,0.9347826086956522
NVIC_0054,cas 38504,1.0
NVIC_0054,cas 38505,1.0
NVIC_0054,cas 40287,1.0
NVIC_0054,cas 42727,0.8163265306122449
NVIC_0055,cas 13860,0.9629629629629629
NVIC_0055,cas 13861,0.9629629629629629
NVIC_0055,cas 17242,0.8135593220338984
NVIC_0055,cas 20799,0.8727272727272727
NVIC_0055,cas 33511,0.864406779661017
NVIC_0055,cas 39436,0.8135593220338984
NVIC_0055,cas 41811,0.8135593220338984
NVIC_0055,cas 42079,0.8135593220338984
NVIC_0055,cas 42719,0.85
NVIC_0055,cas 42762,0.8793103448275862
NVIC_0055,cas 43025,0.9629629629629629
NVIC_0055,cas 44071,0.8793103448275862
NVIC_0058,cas 1569,0.8048780487804879
NVIC_0065,cas 5472,1.0
NVIC_0065,cas 8825,1.0
NVIC_0065,cas 12645,1.0
NVIC_0065,cas 12647,1.0
NVIC_0065,cas 13192,1.0
NVIC_0065,cas 13933,1.0
NVIC_0065,cas 20278,1.0
NVIC_0065,cas 26485,1.0
NVIC_0065,cas 26503,1.0
NVIC_0065,cas 26816,0.8048780487804879
NVIC_0065,cas 33467,1.0
NVIC_0065,cas 35404,1.0
NVIC_0065,cas 36161,1.0
NVIC_0065,cas 36165,1.0
NVIC_0065,cas 38363,1.0
NVIC_0065,cas 38364,1.0
NVIC_0065,cas 39550,0.8205128205128205
NVIC_0065,cas 48521,1.0
NVIC_0065,cas 48525,1.0
NVIC_0069,cas 2081,0.8297872340425532
NVIC_0069,cas 2681,0.8085106382978723
NVIC_0069,cas 6874,1.0
NVIC_0069,cas 30850,0.8222222222222222
NVIC_0069,cas 33018,1.0
NVIC_0069,cas 37883,1.0
NVIC_0069,cas 37884,1.0
NVIC_0069,cas 37885,1.0
NVIC_0069,cas 44048,1.0
NVIC_0069,cas 45130,0.8333333333333334
NVIC_0069,cas 45131,0.8125
NVIC_0069,cas 45137,0.851063829787234
NVIC_0069,cas 47452,1.0
NVIC_0092,cas 33329,1.0
NVIC_0106,cas 12642,1.0
NVIC_0106,cas 24138,0.8360655737704918
NVIC_0106,cas 24140,0.9661016949152542
NVIC_0107,cas 34053,1.0
NVIC_0109,cas 48143,0.8875
NVIC_0110,cas 37915,1.0
NVIC_0117,cas 31556,0.88
NVIC_0117,cas 37914,0.88
NVIC_0117,cas 37937,0.8269230769230769
NVIC_0117,cas 38504,0.88
NVIC_0117,cas 38505,0.88
NVIC_0117,cas 40287,0.88
NVIC_0117,cas 46555,0.8135593220338984
NVIC_0127,cas 34626,0.8214285714285714
