name,smiles
1-avr-enamine,Cc1cc(NC(=O)NC2CCCNC2=O)n(C)n1
2-avr-enamine,Cc1cc(NC(=O)NC2CC2)n(CCC#N)n1
3-avr-enamine,NC(=O)CN1CCC(CC1)NC(=O)Nc1cccnc1N1CCCC1
4-avr-enamine,Cc1cc(NC(=O)NCCCN2CCCCCC2)n(C)n1
5-avr-enamine,O=C(NC(C1CC1)C1CC1)Nc1nncs1
6-avr-enamine,CC(=O)N1CCN(CC1)C(=O)NCCn1ccnc1
7-avr-enamine,COCCOc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)C)cn1
8-avr-enamine,Cc1ccc(=O)n(CC(=O)NCCC23CC4CC(CC(C4)C2)C3)n1
9-avr-enamine,COc1ccnc(NC(=O)C2CCC(C)O2)c1
10-avr-enamine,CC(OCC1CCCO1)C(=O)Nc1cc(c[nH]c1=O)C(F)(F)F
11-avr-enamine,O=C(Cn1ccc(=O)[nH]c1=O)NCC1CCOC1
12-avr-enamine,CC1CCCCC1OCCNC(=O)Cc1c(C)noc1C
13-avr-enamine,Cn1cc(CCNC(=O)NCC2(C)CCCS2)cn1
14-avr-enamine,COCCn1nc(ccc1=O)C(=O)NC1CCN(CC1)C(C)C
15-avr-enamine,[O-][N+](=O)c1cn(CC(=O)NCC2C3CC4CC(C3)CC2C4)ccc1=O
16-avr-enamine,COCCn1nc(ccc1=O)C(=O)NC1CCCC(C)C1
17-avr-enamine,COCCOc1ncccc1C(=O)N1CCC(CC(=O)N)CC1
18-avr-enamine,Cc1cc(NC(=O)NCCCN2CCCC2=O)ccn1
19-avr-enamine,CC1CCC(CC1)NC(=O)Cn1cnc(C#N)n1
20-avr-enamine,CCC1CN(CCO1)C(=O)CNC(C)Cn1cc(C)cn1
21-avr-enamine,COCCn1c(nc2n(C)c(=O)[nH]c(=O)c12)N1CCCC(C)C1
22-avr-enamine,CCOCCn1c(nc2n(C)c(=O)[nH]c(=O)c12)N1CCCC(C)C1
23-avr-enamine,CC(C)c1noc(CCNC(=O)N2CCCCC2C)n1
24-avr-enamine,CN(C)c1ccc(NC(=O)NC2CCN(CC2)C(=O)C2CC2)cn1
25-avr-enamine,COc1ccc(OCCn2c(CCO)nc3ccccc23)cc1
26-avr-enamine,Cc1ncn(CC(O)COc2cccc3[nH]ccc23)c(=O)c1C
27-avr-enamine,CN(C)c1cccc(NC(=O)NC2CCN(C)CC2)n1
28-avr-enamine,Cc1cc(OCC(O)Cn2cnc3cc(C)c(C)cc23)nnc1C
29-avr-enamine,Cc1cccc(NC(=O)NC2CCOC(C)(C)C2)n1
30-avr-enamine,CCC(CC#N)NC(=O)Nc1ncn(n1)C1CCCCC1
31-avr-enamine,CC1CCC=C(C)C1CNCC(C)(O)c1cnn(C)c1
32-avr-enamine,NC(=O)Cc1csc(N)n1
33-avr-enamine,Cl.Cl.Cc1nc(C)n(n1)C1CNC1
34-avr-enamine,OC(=O)Cn1ccc(=O)[nH]c1=O
35-avr-enamine,Clc1c(NC2CC3CCC2O3)cn[nH]c1=O
36-avr-enamine,CCc1ncnc(NC2COCC2O)c1F
37-avr-enamine,CC(NCCn1cccn1)C(=O)N1CCCC1
38-avr-enamine,O=C(CNCCn1cccn1)NC1(CCCCCC1)C#N
39-avr-enamine,Cc1nnc(NC(=O)NCCN2CCCC2)s1
40-avr-enamine,CC(CNC(=O)Nc1ncccc1C)N1CCOCC1
41-avr-enamine,COc1ncccc1NC(=O)NCCN1CCCCC1C
42-avr-enamine,OC1CCC(CC1)NC(=O)Nc1cccnc1N1CCCC1
43-avr-enamine,Cc1nn(CC(O)COCc2ccccc2)c(=O)c(C#N)c1C
44-avr-enamine,O=C(NCC1CCN(C1)C1CC1)Nc1ccccn1
45-avr-enamine,CC(NC(=O)Nc1cc(C)nn1C)C1CCCO1
46-avr-enamine,CNC(=O)CCNC(=O)Nc1cccnc1N1CCCC1
47-avr-enamine,NC(=O)Cn1cc(NC(=O)N2CCCC2)cn1
48-avr-enamine,Cc1noc(Cl)c1CC(=O)NC1CCN(C1)C1CC1
49-avr-enamine,Cc1noc(CCNC(=O)NCC2CCCO2)n1
50-avr-enamine,CC1(C)CC(CC(C)(C)N1)NC(=O)Nc1nccs1
51-avr-enamine,CCc1nc(CCNC(=O)C2CC3CCC2C3)cs1
52-avr-enamine,CC1CC1C(=O)NCCc1nc(cs1)C(C)(C)C
53-avr-enamine,Cc1cc(NC(=O)NC2CCN(CC2)C(=O)C2CC2)no1
54-avr-enamine,CCSCCC(=O)NCc1ccnc(c1)N1CCOCC1
55-avr-enamine,N#Cc1nccnc1NCCOC1CCCCCC1
56-avr-enamine,CCc1cc(NC(=O)NCC2(C)CCCS2)n(C)n1
57-avr-enamine,OCC1CCCCCC1NC(=O)Cc1ccon1
58-avr-enamine,CNC(=O)CN1CCC(CC1)NC(=O)Cn1ccccc1=O
59-avr-enamine,Cc1nn(C(F)F)c(C)c1CC(=O)NC1CCOCC1
60-avr-enamine,CC1CC1CNC(=O)Cn1ccc(=O)[nH]c1=O
61-avr-enamine,CC(C)(C)NC(=O)Cc1csc(n1)N1CCCC1=O
62-avr-enamine,Cc1nn(CC(O)c2ccccc2C(F)(F)F)c(=O)c(C#N)c1C
63-avr-enamine,COCCn1nc(ccc1=O)C(=O)NCC1CCN(C1)C1CC1
64-avr-enamine,CN(C)C(C)(C)CNC(=O)c1nc(ncc1Cl)N1CCOCC1
65-avr-enamine,CC1CCCC(NC(=O)NC(=O)Cn2ccnc2)C1C
66-avr-enamine,Cn1c(=O)n(CC(O)c2ccccc2)c2ccccc12
67-avr-enamine,CCN(CC)c1ccc(NC(=O)C2CN(CC)CCO2)cn1
68-avr-enamine,CCNC(=O)c1cc(ccn1)N1CCOC(C1)C(=O)N
69-avr-enamine,O=C(Cn1c(=O)c(C#N)cn(C2CC2)c1=O)NC1CCCC1
70-avr-enamine,COCCOCC(=O)Nc1cccnc1O
71-avr-enamine,CCc1ncnc(N2CCOCC2C(=O)N)c1F
72-avr-enamine,Fc1cnccc1NC(=O)NC1CCCC=C1
73-avr-enamine,Cc1cccc(NC(=O)NC2(C)CCOCC2)n1
74-avr-enamine,CCCN1CCC(CC1)NC(=O)Nc1cccnn1
75-avr-enamine,O=C(Cn1ncsc1=O)NCC1CC1
76-avr-enamine,CC(CO)(NC(=O)Nc1nnc(s1)C(F)F)C1CC1
77-avr-enamine,NCCc1csc(n1)N1CCCC1
78-avr-enamine,CN(C)CCNC(=O)Cn1ccc(N)n1
79-avr-enamine,OC(=O)c1cncc(c1)N1CCOCC1
80-avr-enamine,COc1nc(N)nc(n1)N1CCOCC1
81-avr-enamine,CC(Cn1ccnc1)NC(=O)N1CCCC1
82-avr-enamine,Clc1cnn(CC(=O)NC2CC2)c(=O)c1Cl
83-avr-enamine,NC(=O)c1cc(CCO)c([nH]c1=O)C(F)(F)F
84-avr-enamine,CC(C)C(C)NC(=O)CNCCn1cccn1
85-avr-enamine,CCC(=O)NCc1ccc(nc1)N1CCOCC1
86-avr-enamine,O=C(Cn1ccnc1)NC1(CCCCCC1)C#N
87-avr-enamine,Cc1nn(C)c(C)c1CC(=O)NC1(CCCCC1)C(=O)O
88-avr-enamine,O=C(NC1CCCCNC1=O)Nc1ccncc1
89-avr-enamine,CC(NCc1nc2cc(Cl)ccc2n1CCO)C(C)n1cccn1
90-avr-enamine,CC(Cn1cccn1)NC(=O)N1CCCC(C1)NC(=O)C
91-avr-enamine,FC(F)(F)CNC(=O)Nc1ccc(nc1)N1CCCC1
92-avr-enamine,O=C(NCC1CCN(C1)C1CC1)Nc1cccnc1
93-avr-enamine,O=C(NCC(C1CCOC1)N1CCOCC1)Nc1cccnc1
94-avr-enamine,CC(C)C(C)NC(=O)Cn1c(ccc(C(=O)N)c1=O)C(F)(F)F
95-avr-enamine,CC(C)C(C)N(C)C(=O)Nc1cnn(CC(=O)N)c1
96-avr-enamine,[O-][N+](=O)c1ccc(=O)n(CC(=O)NCC2CCCCC2)c1
97-avr-enamine,CC(NC(=O)Nc1cccnc1N1CCCC1)C(=O)NC1CCCC1
98-avr-enamine,CCCNC(=O)CNC(=O)Cn1nc(C)c(Cl)c1C
99-avr-enamine,Cc1cc(NC(=O)NCC2CCCO2)no1
100-avr-enamine,CC(=O)N1CCC(CC1)NC(=O)Nc1cccnc1N1CCCC1
101-avr-enamine,CC(NC(=O)Cc1c(C)nn(C)c1C)C1CCCO1
102-avr-enamine,CC(NC(=O)Cn1cc(ccc1=O)C(F)(F)F)C1CCCO1
103-avr-enamine,CC(C)N1CCC(CC1)NC(=O)Cn1ncsc1=O
104-avr-enamine,C=CCNC(=O)Nc1ccc(nc1)N1CCCCC1
105-avr-enamine,CC1CN(CC(C)O1)c1ccc(NC(=O)NCC2CCCO2)cn1
106-avr-enamine,CC(C)CCn1ncc(NC(=O)NC2(C)CCOC2)c1C
107-avr-enamine,COCC(=O)Nc1ccc(OC)nc1N1CCN(CC1)C(=O)C
108-avr-enamine,CNC(=O)c1cccnc1NC1CC2CCC1O2
109-avr-enamine,CCNC(=O)c1ccc(nc1)N1CCOCC1
