NVIC_id,SMILES,[Toxicity/AMES Mutagenesis] Predictions,[Toxicity/AMES Mutagenesis] Probability,[Toxicity/AMES Mutagenesis] Interpretation,[Toxicity/Avian] Predictions,[Toxicity/Avian] Probability,[Toxicity/Avian] Interpretation,[Toxicity/Bee] Predictions,[Toxicity/Bee] Probability,[Toxicity/Bee] Interpretation,[Toxicity/Bioconcentration Factor] Predictions,[Toxicity/Bioconcentration Factor] Interpretation,[Toxicity/Biodegradation] Predictions,[Toxicity/Biodegradation] Probability,[Toxicity/Biodegradation] Interpretation,[Toxicity/Carcinogenesis] Predictions,[Toxicity/Carcinogenesis] Probability,[Toxicity/Carcinogenesis] Interpretation,[Toxicity/Crustacean] Predictions,[Toxicity/Crustacean] Probability,[Toxicity/Crustacean] Interpretation,[Toxicity/Liver Injury I (DILI)] Predictions,[Toxicity/Liver Injury I (DILI)] Probability,[Toxicity/Liver Injury I (DILI)] Interpretation,[Toxicity/Eye Corrosion] Predictions,[Toxicity/Eye Corrosion] Probability,[Toxicity/Eye Corrosion] Interpretation,[Toxicity/Eye irritation] Predictions,[Toxicity/Eye irritation] Probability,[Toxicity/Eye irritation] Interpretation,[Toxicity/Maximum Tolerated Dose] Predictions,[Toxicity/Maximum Tolerated Dose] Interpretation,[Toxicity/Liver Injury II] Predictions,[Toxicity/Liver Injury II] Probability,[Toxicity/Liver Injury II] Interpretation,[Toxicity/hERG Blockers] Predictions,[Toxicity/hERG Blockers] Probability,[Toxicity/hERG Blockers] Interpretation,[Toxicity/Daphnia Maga] Predictions,[Toxicity/Daphnia Maga] Interpretation,[Toxicity/Micronucleos] Predictions,[Toxicity/Micronucleos] Probability,[Toxicity/Micronucleos] Interpretation,[Toxicity/NR-AhR] Predictions,[Toxicity/NR-AhR] Probability,[Toxicity/NR-AhR] Interpretation,[Toxicity/NR-AR] Predictions,[Toxicity/NR-AR] Probability,[Toxicity/NR-AR] Interpretation,[Toxicity/NR-AR-LBD] Predictions,[Toxicity/NR-AR-LBD] Probability,[Toxicity/NR-AR-LBD] Interpretation,[Toxicity/NR-Aromatase] Predictions,[Toxicity/NR-Aromatase] Probability,[Toxicity/NR-Aromatase] Interpretation,[Toxicity/NR-ER] Predictions,[Toxicity/NR-ER] Probability,[Toxicity/NR-ER] Interpretation,[Toxicity/NR-ER-LBD] Predictions,[Toxicity/NR-ER-LBD] Probability,[Toxicity/NR-ER-LBD] Interpretation,[Toxicity/NR-GR] Predictions,[Toxicity/NR-GR] Probability,[Toxicity/NR-GR] Interpretation,[Toxicity/NR-PPAR-gamma] Predictions,[Toxicity/NR-PPAR-gamma] Probability,[Toxicity/NR-PPAR-gamma] Interpretation,[Toxicity/NR-TR] Predictions,[Toxicity/NR-TR] Probability,[Toxicity/NR-TR] Interpretation,[Toxicity/T. Pyriformis] Predictions,[Toxicity/T. Pyriformis] Interpretation,[Toxicity/Rat (Acute)] Predictions,[Toxicity/Rat (Acute)] Interpretation,[Toxicity/Rat (Chronic Oral)] Predictions,[Toxicity/Rat (Chronic Oral)] Interpretation,[Toxicity/Fathead Minnow] Predictions,[Toxicity/Fathead Minnow] Interpretation,[Toxicity/Respiratory Disease] Predictions,[Toxicity/Respiratory Disease] Probability,[Toxicity/Respiratory Disease] Interpretation,[Toxicity/Skin Sensitisation] Predictions,[Toxicity/Skin Sensitisation] Probability,[Toxicity/Skin Sensitisation] Interpretation,[Toxicity/SR-ARE] Predictions,[Toxicity/SR-ARE] Probability,[Toxicity/SR-ARE] Interpretation,[Toxicity/SR-ATAD5] Predictions,[Toxicity/SR-ATAD5] Probability,[Toxicity/SR-ATAD5] Interpretation,[Toxicity/SR-HSE] Predictions,[Toxicity/SR-HSE] Probability,[Toxicity/SR-HSE] Interpretation,[Toxicity/SR-MMP] Predictions,[Toxicity/SR-MMP] Probability,[Toxicity/SR-MMP] Interpretation,[Toxicity/SR-p53] Predictions,[Toxicity/SR-p53] Probability,[Toxicity/SR-p53] Interpretation
NVIC0001,NCC(=O)Nc1ccc(cc1)n1nc(cc1c1ccc2c(c1)ccc1c2cccc1)C(F)(F)F	,Toxic,0.922,Toxic  (High Confidence),Safe,0.488,Safe  (Low Confidence),Safe,0.288,Safe  (Medium Confidence),1.71,None,Toxic,0.741,Toxic  (Medium Confidence),Safe,0.419,Safe  (Low Confidence),Toxic,1,Toxic  (High Confidence),Toxic,0.982,Toxic  (High Confidence),Safe,0,Safe  (High Confidence),Toxic,0.773,Toxic  (Medium Confidence),1.31,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.968,Toxic  (High Confidence),Safe,0,Safe  (High Confidence),5.86,None,Toxic,1,Toxic  (High Confidence),Toxic,1,Toxic  (High Confidence),Safe,0.429,Safe  (Low Confidence),Safe,0.21,Safe  (Medium Confidence),Safe,0.007,Safe  (High Confidence),Safe,0.06,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Toxic,0.63,Toxic  (Low Confidence),Safe,0.003,Safe  (High Confidence),Toxic,0.997,Toxic  (High Confidence),-386.22,PIGC50% > -0.5 log ug/L: toxic,2.4,None,0.95,None,6.88,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0,Safe  (High Confidence),Toxic,0.572,Toxic  (Low Confidence),Toxic,0.956,Toxic  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.009,Safe  (High Confidence),Safe,0.378,Safe  (Low Confidence),Toxic,0.998,Toxic  (High Confidence)
NVIC0002,COc1cc2CCN([C@H]3c2cc1Oc1c2c(CCN([C@H]2Cc2ccc(Oc4cc(C3)ccc4OC)cc2)C)cc2c1OCO2)C	,Toxic,0.982,Toxic  (High Confidence),Safe,0.277,Safe  (Medium Confidence),Toxic,0.996,Toxic  (High Confidence),1.55,None,Safe,0,Safe  (High Confidence),Safe,0.102,Safe  (High Confidence),Toxic,1,Toxic  (High Confidence),Safe,0.214,Safe  (Medium Confidence),Safe,0,Safe  (High Confidence),Safe,0.014,Safe  (High Confidence),0.27,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Safe,0.48,Safe  (Low Confidence),Toxic,0.996,Toxic  (High Confidence),10.18,None,Toxic,1,Toxic  (High Confidence),Safe,0.066,Safe  (High Confidence),Safe,0.25,Safe  (Medium Confidence),Safe,0.044,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.011,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.086,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Toxic,0.504,Toxic  (Low Confidence),-191905.96,PIGC50% > -0.5 log ug/L: toxic,2.58,None,0.38,None,249.62,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.996,Toxic  (High Confidence),Toxic,0.535,Toxic  (Low Confidence),Safe,0.011,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.01,Safe  (High Confidence),Safe,0.13,Safe  (High Confidence),Safe,0.024,Safe  (High Confidence)
NVIC0003,CC(=C)[C@H]1Oc2c(C1)c1NC(=O)[C@@]3(c1cc2)C[C@@]12[C@@H](C3(C)C)C[C@@]3(C(=O)N1)N(C2=O)CCC3	,Safe,0,Safe  (High Confidence),Toxic,0.654,Toxic  (Low Confidence),Toxic,0.985,Toxic  (High Confidence),-1.67,None,Safe,0,Safe  (High Confidence),Safe,0.121,Safe  (High Confidence),Toxic,0.973,Toxic  (High Confidence),Safe,0.261,Safe  (Medium Confidence),Safe,0,Safe  (High Confidence),Safe,0.012,Safe  (High Confidence),-0.53,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.74,Toxic  (Medium Confidence),Safe,0.432,Safe  (Low Confidence),5.31,None,Toxic,0.99,Toxic  (High Confidence),Safe,0.004,Safe  (High Confidence),Safe,0.033,Safe  (High Confidence),Safe,0.004,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.049,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.033,Safe  (High Confidence),Safe,0.006,Safe  (High Confidence),Safe,0.026,Safe  (High Confidence),-290.89,PIGC50% > -0.5 log ug/L: toxic,4.1,None,2.38,None,4,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.998,Toxic  (High Confidence),Safe,0.464,Safe  (Low Confidence),Safe,0.39,Safe  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0.01,Safe  (High Confidence),Safe,0.006,Safe  (High Confidence),Safe,0.021,Safe  (High Confidence)
NVIC0004,O=C1N(c2cccc(c2)C(F)(F)F)C(=O)[C@H]2[C@H]1C1c3ccccc3C2(c2c1cccc2)C(=O)C	,Safe,0.03,Safe  (High Confidence),Safe,0.049,Safe  (High Confidence),Toxic,0.864,Toxic  (High Confidence),2.17,None,Safe,0.001,Safe  (High Confidence),Safe,0.132,Safe  (High Confidence),Toxic,1,Toxic  (High Confidence),Safe,0.478,Safe  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0.045,Safe  (High Confidence),0.17,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.908,Toxic  (High Confidence),Safe,0.09,Safe  (High Confidence),6.84,None,Toxic,0.975,Toxic  (High Confidence),Safe,0.086,Safe  (High Confidence),Safe,0.368,Safe  (Low Confidence),Safe,0.004,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.031,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.301,Safe  (Medium Confidence),Safe,0.007,Safe  (High Confidence),Safe,0.18,Safe  (Medium Confidence),-371.09,PIGC50% > -0.5 log ug/L: toxic,2.76,None,1.83,None,6.38,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.474,Safe  (Low Confidence),Toxic,0.567,Toxic  (Low Confidence),Safe,0.166,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.011,Safe  (High Confidence),Toxic,0.99,Toxic  (High Confidence),Safe,0.375,Safe  (Low Confidence)
NVIC0005,O=C(N1CCCc2c1cccc2)CSc1nnnn1c1cccc2c1cccc2	,Safe,0,Safe  (High Confidence),Safe,0.142,Safe  (High Confidence),Toxic,0.551,Toxic  (Low Confidence),1.63,None,Safe,0,Safe  (High Confidence),Safe,0.068,Safe  (High Confidence),Toxic,0.963,Toxic  (High Confidence),Toxic,0.57,Toxic  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0.027,Safe  (High Confidence),0.58,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.834,Toxic  (High Confidence),Safe,0.342,Safe  (Low Confidence),5.83,None,Toxic,0.956,Toxic  (High Confidence),Safe,0.126,Safe  (High Confidence),Safe,0.049,Safe  (High Confidence),Safe,0.064,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.088,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.037,Safe  (High Confidence),Safe,0.022,Safe  (High Confidence),Safe,0.066,Safe  (High Confidence),-54.21,PIGC50% > -0.5 log ug/L: toxic,2.56,None,1.21,None,5.93,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.52,Toxic  (Low Confidence),Toxic,0.558,Toxic  (Low Confidence),Toxic,0.665,Toxic  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0.006,Safe  (High Confidence),Safe,0.054,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence)
NVIC0006,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2NCCCCCCN1C(=O)C=CC1=O)C	,Toxic,0.999,Toxic  (High Confidence),Safe,0.092,Safe  (High Confidence),Toxic,0.877,Toxic  (High Confidence),0.94,None,Safe,0.001,Safe  (High Confidence),Safe,0.27,Safe  (Medium Confidence),Toxic,0.995,Toxic  (High Confidence),Safe,0.376,Safe  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0,Safe  (High Confidence),-0.1,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.541,Toxic  (Low Confidence),Toxic,1,Toxic  (High Confidence),7.46,None,Toxic,0.63,Toxic  (Low Confidence),Safe,0.007,Safe  (High Confidence),Safe,0.295,Safe  (Medium Confidence),Toxic,0.692,Toxic  (Medium Confidence),Toxic,0.54,Toxic  (Low Confidence),Toxic,0.563,Toxic  (Low Confidence),Safe,0.34,Safe  (Low Confidence),Toxic,0.783,Toxic  (Medium Confidence),Safe,0.002,Safe  (High Confidence),Toxic,0.95,Toxic  (High Confidence),-451.27,PIGC50% > -0.5 log ug/L: toxic,2.73,None,2.09,None,4.52,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.978,Toxic  (High Confidence),Toxic,0.604,Toxic  (Low Confidence),Toxic,0.818,Toxic  (Medium Confidence),Safe,0,Safe  (High Confidence),Safe,0.433,Safe  (Low Confidence),Safe,0.31,Safe  (Medium Confidence),Safe,0.448,Safe  (Low Confidence)
NVIC0007,CC(C[C@@H]1N[C@@H]2N(C1=O)c1c([C@@]32C[C@@H]2C(=O)N[C@@](O3)(C)c3n2c(=O)c2c(n3)cccc2)cccc1)C	,Toxic,1,Toxic  (High Confidence),Safe,0.054,Safe  (High Confidence),Toxic,0.893,Toxic  (High Confidence),-0.19,None,Safe,0,Safe  (High Confidence),Safe,0.047,Safe  (High Confidence),Toxic,0.999,Toxic  (High Confidence),Safe,0.416,Safe  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),-0.26,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.837,Toxic  (High Confidence),Toxic,0.864,Toxic  (High Confidence),4.93,None,Toxic,0.995,Toxic  (High Confidence),Safe,0.136,Safe  (High Confidence),Safe,0.114,Safe  (High Confidence),Safe,0.009,Safe  (High Confidence),Safe,0.006,Safe  (High Confidence),Safe,0.025,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.249,Safe  (Medium Confidence),Safe,0.02,Safe  (High Confidence),Safe,0.024,Safe  (High Confidence),-1189.37,PIGC50% > -0.5 log ug/L: toxic,2.88,None,1.38,None,8.07,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.728,Toxic  (Medium Confidence),Safe,0.27,Safe  (Medium Confidence),Toxic,0.906,Toxic  (High Confidence),Safe,0.121,Safe  (High Confidence),Safe,0.011,Safe  (High Confidence),Toxic,0.883,Toxic  (High Confidence),Safe,0.011,Safe  (High Confidence)
NVIC0008,COc1ccccc1c1cc2ccc(cc2[nH]c1=O)Cl	,Toxic,0.614,Toxic  (Low Confidence),Safe,0.171,Safe  (Medium Confidence),Safe,0.199,Safe  (Medium Confidence),2.02,None,Safe,0.006,Safe  (High Confidence),Safe,0.256,Safe  (Medium Confidence),Toxic,0.997,Toxic  (High Confidence),Toxic,0.638,Toxic  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0.228,Safe  (Medium Confidence),0.32,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.768,Toxic  (Medium Confidence),Safe,0.048,Safe  (High Confidence),4.42,None,Toxic,0.904,Toxic  (High Confidence),Toxic,0.636,Toxic  (Low Confidence),Safe,0.019,Safe  (High Confidence),Safe,0.019,Safe  (High Confidence),Safe,0.095,Safe  (High Confidence),Safe,0.229,Safe  (Medium Confidence),Safe,0.006,Safe  (High Confidence),Safe,0.333,Safe  (Low Confidence),Safe,0.023,Safe  (High Confidence),Safe,0.24,Safe  (Medium Confidence),4.15,PIGC50% > -0.5 log ug/L: toxic,1.77,None,1.83,None,4.98,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.888,Toxic  (High Confidence),Toxic,0.602,Toxic  (Low Confidence),Toxic,0.581,Toxic  (Low Confidence),Safe,0.078,Safe  (High Confidence),Safe,0.074,Safe  (High Confidence),Toxic,0.71,Toxic  (Medium Confidence),Safe,0.263,Safe  (Medium Confidence)
NVIC0009,N/C(=N\Cc1ccccc1)/NC(=O)c1nc(Cl)c(nc1N)N	,Safe,0.282,Safe  (Medium Confidence),Safe,0.017,Safe  (High Confidence),Toxic,0.531,Toxic  (Low Confidence),-1.08,None,Safe,0,Safe  (High Confidence),Safe,0.278,Safe  (Medium Confidence),Toxic,0.863,Toxic  (High Confidence),Safe,0.499,Safe  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0.011,Safe  (High Confidence),0.77,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.697,Toxic  (Medium Confidence),Toxic,0.871,Toxic  (High Confidence),6.16,None,Toxic,0.999,Toxic  (High Confidence),Safe,0.436,Safe  (Low Confidence),Safe,0.043,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.075,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.006,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Toxic,0.854,Toxic  (High Confidence),0.3,PIGC50% > -0.5 log ug/L: toxic,1.94,None,1.88,None,4.26,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.578,Toxic  (Low Confidence),Toxic,0.644,Toxic  (Low Confidence),Safe,0.133,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Toxic,1,Toxic  (High Confidence)
NVIC0010,C[C@H]1CC[C@]2([C@@]3([C@@H]1O)O[C@@]1([C@]4([C@@]3(O)[C@@]([C@@]2(C)C1)(O)[C@@H]([C@]4(O)C(C)C)OC(=O)c1[nH]ccc1)C)O)O	,Safe,0.048,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Toxic,0.999,Toxic  (High Confidence),-4.16,None,Safe,0.002,Safe  (High Confidence),Safe,0.027,Safe  (High Confidence),Safe,0.093,Safe  (High Confidence),Safe,0.494,Safe  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0.015,Safe  (High Confidence),0.01,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.587,Toxic  (Low Confidence),Toxic,1,Toxic  (High Confidence),5.76,None,Toxic,0.858,Toxic  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.057,Safe  (High Confidence),Safe,0.029,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.009,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.458,Safe  (Low Confidence),-310.87,PIGC50% > -0.5 log ug/L: toxic,3.84,None,3.79,None,4.08,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.923,Toxic  (High Confidence),Safe,0.459,Safe  (Low Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.232,Safe  (Medium Confidence),Safe,0,Safe  (High Confidence),Safe,0.422,Safe  (Low Confidence),Safe,0.044,Safe  (High Confidence)
