id	clid
1	1
2	2
123	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
28	12
133	12
105	12
13	13
14	14
15	15
16	16
62	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
98	24
25	25
26	26
44	26
27	27
29	28
30	29
31	30
32	31
33	32
34	33
35	34
36	35
37	36
38	37
39	38
40	39
41	40
42	41
43	42
45	43
46	44
47	45
48	46
49	47
50	48
51	49
52	50
53	51
54	52
117	52
55	53
56	54
57	55
58	56
59	57
131	57
60	58
61	59
63	60
64	61
140	61
65	62
66	63
67	64
68	65
69	66
70	67
71	68
72	69
73	70
74	71
75	71
77	71
76	71
78	72
79	73
80	74
81	75
82	76
83	77
84	78
85	79
86	80
87	81
88	82
89	83
90	84
91	85
92	86
93	87
94	88
95	89
96	90
97	91
100	91
99	92
101	93
102	94
103	95
104	96
106	97
107	98
108	99
109	100
110	101
111	102
112	103
113	104
114	105
115	106
116	107
118	108
119	109
120	110
121	111
122	112
124	113
125	114
129	114
126	115
127	116
128	117
130	118
132	119
134	120
135	121
136	122
137	123
138	123
139	123
141	124
142	125

STATISTICS

Number of objects = 142
Number of clusters (without singletons) = 12
Number of singletons = 113

List of clusters (without singletons):
clid	size
2	2
12	4
16	2
24	2
26	2
52	2
57	2
61	2
71	4
91	2
114	2
123	3

Average dissimilarity = 0.80272263
Minimum dissimilarity = 0.00934577
Maximum dissimilarity = 1.0

