NVIC_ID,SMILES,[Metabolism/Breast Cancer Resistance Protein] Predictions,[Metabolism/Breast Cancer Resistance Protein] Probability,[Metabolism/Breast Cancer Resistance Protein] Interpretation,[Metabolism/CYP 1A2 Inhibitor] Predictions,[Metabolism/CYP 1A2 Inhibitor] Probability,[Metabolism/CYP 1A2 Inhibitor] Interpretation,[Metabolism/CYP 1A2_substrate] Predictions,[Metabolism/CYP 1A2_substrate] Probability,[Metabolism/CYP 1A2_substrate] Interpretation,[Metabolism/CYP 2C19 Inhibitor] Predictions,[Metabolism/CYP 2C19 Inhibitor] Probability,[Metabolism/CYP 2C19 Inhibitor] Interpretation,[Metabolism/CYP 2C19_substrate] Predictions,[Metabolism/CYP 2C19_substrate] Probability,[Metabolism/CYP 2C19_substrate] Interpretation,[Metabolism/CYP 2C9 Inhibitor] Predictions,[Metabolism/CYP 2C9 Inhibitor] Probability,[Metabolism/CYP 2C9 Inhibitor] Interpretation,[Metabolism/CYP 2C9 Substrate] Predictions,[Metabolism/CYP 2C9 Substrate] Probability,[Metabolism/CYP 2C9 Substrate] Interpretation,[Metabolism/CYP 2D6 Inhibitor] Predictions,[Metabolism/CYP 2D6 Inhibitor] Probability,[Metabolism/CYP 2D6 Inhibitor] Interpretation,[Metabolism/CYP 2D6 Substrate] Predictions,[Metabolism/CYP 2D6 Substrate] Probability,[Metabolism/CYP 2D6 Substrate] Interpretation,[Metabolism/CYP 3A4 Inhibitor] Predictions,[Metabolism/CYP 3A4 Inhibitor] Probability,[Metabolism/CYP 3A4 Inhibitor] Interpretation,[Metabolism/CYP 3A4 Substrate] Predictions,[Metabolism/CYP 3A4 Substrate] Probability,[Metabolism/CYP 3A4 Substrate] Interpretation,[Metabolism/OATP1B1] Predictions,[Metabolism/OATP1B1] Probability,[Metabolism/OATP1B1] Interpretation,[Metabolism/OATP1B3] Predictions,[Metabolism/OATP1B3] Probability,[Metabolism/OATP1B3] Interpretation
NVIC0001,"NCC(=O)Nc1ccc(cc1)n1nc(cc1c1ccc2c(c1)ccc1c2cccc1)C(F)(F)F	",Inhibitor,0.994,Inhibitor  (High Confidence),Inhibitor,0.997,Inhibitor  (High Confidence),Substrate,0.572,Substrate  (Low Confidence),Non-Inhibitor,0.012,Non-Inhibitor  (High Confidence),Non-Substrate,0.296,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.09,Non-Inhibitor  (High Confidence),Substrate,1,Substrate  (High Confidence),Non-Inhibitor,0.323,Non-Inhibitor  (Medium Confidence),Substrate,0.537,Substrate  (Low Confidence),Non-Inhibitor,0.129,Non-Inhibitor  (High Confidence),Non-Substrate,0.001,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.075,Non-Inhibitor  (High Confidence)
NVIC0002,"COc1cc2CCN([C@H]3c2cc1Oc1c2c(CCN([C@H]2Cc2ccc(Oc4cc(C3)ccc4OC)cc2)C)cc2c1OCO2)C	",Non-Inhibitor,0.096,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.067,Non-Inhibitor  (High Confidence),Substrate,0.728,Substrate  (Medium Confidence),Non-Inhibitor,0.006,Non-Inhibitor  (High Confidence),Non-Substrate,0.36,Non-Substrate  (Low Confidence),Non-Inhibitor,0.002,Non-Inhibitor  (High Confidence),Substrate,0.978,Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Substrate,0.731,Substrate  (Medium Confidence),Non-Inhibitor,0.442,Non-Inhibitor  (Low Confidence),Substrate,1,Substrate  (High Confidence),Non-Inhibitor,0.001,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.419,Non-Inhibitor  (Low Confidence)
NVIC0003,"CC(=C)[C@H]1Oc2c(C1)c1NC(=O)[C@@]3(c1cc2)C[C@@]12[C@@H](C3(C)C)C[C@@]3(C(=O)N1)N(C2=O)CCC3	",Non-Inhibitor,0.203,Non-Inhibitor  (Medium Confidence),Inhibitor,0.825,Inhibitor  (Medium Confidence),Non-Substrate,0.363,Non-Substrate  (Low Confidence),Non-Inhibitor,0.028,Non-Inhibitor  (High Confidence),Non-Substrate,0.443,Non-Substrate  (Low Confidence),Inhibitor,0.516,Inhibitor  (Low Confidence),Non-Substrate,0.001,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.479,Non-Substrate  (Low Confidence),Non-Inhibitor,0.383,Non-Inhibitor  (Low Confidence),Substrate,0.958,Substrate  (High Confidence),Non-Inhibitor,0.394,Non-Inhibitor  (Low Confidence),Non-Inhibitor,0.212,Non-Inhibitor  (Medium Confidence)
NVIC0004,"O=C1N(c2cccc(c2)C(F)(F)F)C(=O)[C@H]2[C@H]1C1c3ccccc3C2(c2c1cccc2)C(=O)C	",Inhibitor,0.957,Inhibitor  (High Confidence),Non-Inhibitor,0.189,Non-Inhibitor  (Medium Confidence),Substrate,0.88,Substrate  (High Confidence),Non-Inhibitor,0.245,Non-Inhibitor  (Medium Confidence),Non-Substrate,0.368,Non-Substrate  (Low Confidence),Inhibitor,0.968,Inhibitor  (High Confidence),Substrate,0.647,Substrate  (Low Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.237,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.336,Non-Inhibitor  (Low Confidence),Non-Substrate,0.244,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.387,Non-Inhibitor  (Low Confidence),Non-Inhibitor,0.281,Non-Inhibitor  (Medium Confidence)
NVIC0005,"O=C(N1CCCc2c1cccc2)CSc1nnnn1c1cccc2c1cccc2	",Inhibitor,0.893,Inhibitor  (High Confidence),Inhibitor,0.621,Inhibitor  (Low Confidence),Non-Substrate,0.341,Non-Substrate  (Low Confidence),Inhibitor,1,Inhibitor  (High Confidence),Non-Substrate,0.441,Non-Substrate  (Low Confidence),Inhibitor,0.93,Inhibitor  (High Confidence),Substrate,0.518,Substrate  (Low Confidence),Non-Inhibitor,0.002,Non-Inhibitor  (High Confidence),Non-Substrate,0.31,Non-Substrate  (Medium Confidence),Inhibitor,0.933,Inhibitor  (High Confidence),Substrate,0.561,Substrate  (Low Confidence),Non-Inhibitor,0.244,Non-Inhibitor  (Medium Confidence),Non-Inhibitor,0.109,Non-Inhibitor  (High Confidence)
NVIC0006,"COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2NCCCCCCN1C(=O)C=CC1=O)C	",Non-Inhibitor,0.405,Non-Inhibitor  (Low Confidence),Non-Inhibitor,0.097,Non-Inhibitor  (High Confidence),Non-Substrate,0.46,Non-Substrate  (Low Confidence),Non-Inhibitor,0.006,Non-Inhibitor  (High Confidence),Non-Substrate,0.403,Non-Substrate  (Low Confidence),Non-Inhibitor,0.012,Non-Inhibitor  (High Confidence),Non-Substrate,0.001,Non-Substrate  (High Confidence),Non-Inhibitor,0.189,Non-Inhibitor  (Medium Confidence),Non-Substrate,0.456,Non-Substrate  (Low Confidence),Non-Inhibitor,0.275,Non-Inhibitor  (Medium Confidence),Non-Substrate,0.284,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.06,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.257,Non-Inhibitor  (Medium Confidence)
NVIC0007,"CC(C[C@@H]1N[C@@H]2N(C1=O)c1c([C@@]32C[C@@H]2C(=O)N[C@@](O3)(C)c3n2c(=O)c2c(n3)cccc2)cccc1)C	",Inhibitor,0.638,Inhibitor  (Low Confidence),Non-Inhibitor,0.011,Non-Inhibitor  (High Confidence),Non-Substrate,0.353,Non-Substrate  (Low Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.494,Non-Substrate  (Low Confidence),Non-Inhibitor,0.406,Non-Inhibitor  (Low Confidence),Non-Substrate,0.005,Non-Substrate  (High Confidence),Non-Inhibitor,0.154,Non-Inhibitor  (High Confidence),Non-Substrate,0.329,Non-Substrate  (Medium Confidence),Inhibitor,0.701,Inhibitor  (Medium Confidence),Substrate,0.899,Substrate  (High Confidence),Non-Inhibitor,0.254,Non-Inhibitor  (Medium Confidence),Non-Inhibitor,0.279,Non-Inhibitor  (Medium Confidence)
NVIC0008,"COc1ccccc1c1cc2ccc(cc2[nH]c1=O)Cl	",Inhibitor,0.907,Inhibitor  (High Confidence),Inhibitor,0.983,Inhibitor  (High Confidence),Substrate,0.725,Substrate  (Medium Confidence),Non-Inhibitor,0.283,Non-Inhibitor  (Medium Confidence),Non-Substrate,0.499,Non-Substrate  (Low Confidence),Non-Inhibitor,0.059,Non-Inhibitor  (High Confidence),Substrate,0.976,Substrate  (High Confidence),Non-Inhibitor,0.026,Non-Inhibitor  (High Confidence),Substrate,0.555,Substrate  (Low Confidence),Inhibitor,0.679,Inhibitor  (Medium Confidence),Substrate,0.542,Substrate  (Low Confidence),Non-Inhibitor,0.134,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.051,Non-Inhibitor  (High Confidence)
NVIC0009,"N/C(=N\Cc1ccccc1)/NC(=O)c1nc(Cl)c(nc1N)N	",Non-Inhibitor,0.055,Non-Inhibitor  (High Confidence),Inhibitor,0.962,Inhibitor  (High Confidence),Non-Substrate,0.25,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.029,Non-Inhibitor  (High Confidence),Non-Substrate,0.355,Non-Substrate  (Low Confidence),Non-Inhibitor,0.003,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Inhibitor,0.997,Inhibitor  (High Confidence),Non-Substrate,0.352,Non-Substrate  (Low Confidence),Non-Inhibitor,0.011,Non-Inhibitor  (High Confidence),Non-Substrate,0.039,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.052,Non-Inhibitor  (High Confidence)
NVIC0010,"C[C@H]1CC[C@]2([C@@]3([C@@H]1O)O[C@@]1([C@]4([C@@]3(O)[C@@]([C@@]2(C)C1)(O)[C@@H]([C@]4(O)C(C)C)OC(=O)c1[nH]ccc1)C)O)O	",Non-Inhibitor,0.032,Non-Inhibitor  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.003,Non-Substrate  (High Confidence),Non-Inhibitor,0.02,Non-Inhibitor  (High Confidence),Non-Substrate,0.311,Non-Substrate  (Medium Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0.042,Non-Inhibitor  (High Confidence),Non-Substrate,0.087,Non-Substrate  (High Confidence),Non-Inhibitor,0.156,Non-Inhibitor  (High Confidence),Non-Substrate,0.446,Non-Substrate  (Low Confidence),Non-Inhibitor,0.235,Non-Inhibitor  (Medium Confidence),Non-Inhibitor,0.099,Non-Inhibitor  (High Confidence)
